一个	یک (حرف تعریف نامعین)	yī gè
支票	بررسی کردن، چک؛ چک کردن	zhī piào
击破	مات کردن؛ شاه مات	jī pò
彻底失败	مات کردن؛ شاه مات	chè dǐ shī bài
颊	گونه	jiá
厚颜	گونه	hòu yán
愉快	تشویق کردن، تشویق	yú kuài
振奋	تشویق کردن، تشویق	zhèn fèn
快活的	خرم؛ شنگول	kuài huo de
高兴的	خرم؛ شنگول	gāo xìng de
高兴	انبساط؛ بشاشت	gāo xìng
快活	انبساط؛ بشاشت	kuài huo
愉快的	با ل بشاشت	yú kuài de
乳酪	پنیر	rǔ lào
干酪	پنیر	gān lào
厨师	سرآشپز	chú shī
化学药品	شیمیایی	huà xué yào pǐn
化学的	شیمیایی	huà xué de
化学家	شیمیدان	huà xué jiā
药剂师	شیمیدان	yào jì shī
化学	شیمی	huà xué
珍爱	ورزیدن؛ عزیز داشتن	zhēn ài
怀有	ورزیدن؛ عزیز داشتن	huái yǒu
樱桃	گیلاس	yīng táo
国际象棋	شطرنج؛ شترنج	guó jì xiàng qí
雀麦	شطرنج؛ شترنج	qiāo mài
西洋象棋盘	تخته شطرنج	xī yáng xiàng qí pán
胸	سینه؛ قص	xiōng
衣柜	سینه؛ قص	yī guì
栗子	بلوط؛ شاه بلوط	lì zi
栗树	بلوط؛ شاه بلوط	lì shù
咀嚼	خاییدن؛ جویدن	jǔ jué
嚼碎	خاییدن؛ جویدن	jiáo suì
芝加哥	شیکاگو	zhī jiā gē
小鸡	مرغ	xiǎo jī
鸡肉	مرغ	jī ròu
领袖	رئیس؛ اصلی	lǐng xiù
酋长	رئیس؛ اصلی	qiú zhǎng
雪纺绸	تور نازک؛ نوعی کیک	xuě fǎng chóu
薄绸	تور نازک؛ نوعی کیک	báo chóu
孩子	کودک	hái zi
产物	کودک	chǎn wù
孩童时期	خردی؛ بچگی	hái tóng shí qī
儿童期	خردی؛ بچگی	ér tóng qī
天真的	کودکانه؛ بچگانه	tiān zhēn de
孩子气的	کودکانه؛ بچگانه	hái zi qì de
无儿女的	بی فرزند؛ بی اولاد	wú ér nǚ de
孩子似的	کودک مانند	hái zi shì de
天真烂漫的	کودک مانند	tiān zhēn làn màn de
寒冷	چایمان؛ سرد کردن	hán lěng
寒意	چایمان؛ سرد کردن	hán yì
钟声	ناقوس را؛ سازیاموسیقی زنگی	zhōng shēng
空想的	هوس باز؛ هوس آمیز	kōng xiǎng de
烟囱	دودکش؛ تنوره	yān cōng
灯罩	دودکش؛ تنوره	dēng zhào
下巴	چانه؛ پوز	xià ba
颏	چانه؛ پوز	kē
中国	چین؛ ظروف چینی	zhōng guó
瓷器	چین؛ ظروف چینی	cí qì
中文	چینی؛ زبان چینی	zhōng wén
中国话	چینی؛ زبان چینی	zhōng guó huà
裂缝	درزپیدا کردن	liè fèng
屑片	چیپس، تراشه	xiè piān
薄片	چیپس، تراشه	báo piàn
凿子	اسکنه؛ منقاش	záo zǐ
刻	اسکنه؛ منقاش	kè
骑士精神	سلحشوری	qí shì jīng shén
骑士制度	سلحشوری	qí shì zhì dù
巧克力	شکلات	qiǎo kè lì
选择	انتخاب	xuǎn zé
精选品	انتخاب	jīng xuǎn pǐn
唱诗班	گروه کر	chàng shī bān
合唱	گروه کر	hé chàng
窒息	اختناق؛ ساسات	zhì xī
霍乱	وبا	huò luàn
宁愿	انتخاب کردن	nìng yuàn
肋条肉	خرد کردن	lèi tiáo ròu
排骨	خرد کردن	pái gǔ
砍	ریز ریز	kǎn
斩碎	ریز ریز	zhǎn suì
基督教	مسیحیت؛ عیسویت	jī dū jiào
基督教徒	نصارا	jī dū jiào tú
慢性的	مزمن	màn xìng de
习惯性的	مزمن	xí guàn xìng de
年代学的	زمانی	nián dài xué de
按时间顺序的	زمانی	àn shí jiān shùn xù de
圆胖的	خپله	yuán pán de
抚弄	مرغک	fǔ lòng
赶走	مرغک	gǎn zǒu
大块	تکه بزرگ	dà kuài
矮胖的人	تکه بزرگ	ǎi pàng de rén
教堂	کلیسا	jiào táng
礼拜	کلیسا	lǐ bài
搅拌以制黄油	چرخی	jiǎo bàn yǐ zhì huáng yóu
搅动	چرخی	jiǎo dòng
苹果汁	آب سیب؛ شربت سیب	píng guǒ zhī
苹果酒	آب سیب؛ شربت سیب	píng guǒ jiǔ
雪茄	سیگار برگ	xuě jiā
香烟	سیگار	xiāng yān
纸烟	سیگار	zhǐ yān
电影院	سینما	diàn yǐng yuàn
圆周	دایره، دور چیزی کشیدن	yuán zhōu
社交圈	دایره، دور چیزی کشیدن	shè jiāo juān
电路	مدار	diàn lù
环道	مدار	huán dào
圆形的	حلقهای؛ مدور	yuán xíng de
循环的	حلقهای؛ مدور	xún huán de
流通	گردش کردن	liú tōng
循环	گردش کردن	xún huán
包皮环割术	ختنه	bāo pí huán gē shù
环切术	ختنه	huán qiē shù
细心的	ملاحظه کار؛ مال اندیش	xì xīn de
慎重的	ملاحظه کار؛ مال اندیش	shèn zhòng de
环境	چگونگی	huán jìng
状况	چگونگی	zhuàng kuàng
马戏团	میدان؛ جولانگاه	mǎ xì tuán
竞技场	میدان؛ جولانگاه	jìng jì chǎng
避难处	ارک؛ قلعه نظامی	bì nàn chǔ
引用	اقتباس کردن؛ اتخاذ سند کردن	yǐn yòng
引证	اقتباس کردن؛ اتخاذ سند کردن	yǐn zhèng
市民	شهروند	shì mín
公民	شهروند	gōng mín
国籍	شهروندی	guó jí
市民权	شهروندی	shì mín quán
城市	شهر	chéng shì
都市	شهر	dū shì
市的	مدنی	shì de
市民的	مدنی	shì mín de
公民的	مدنی؛ غیرنظامی	gōng mín de
平民	غیرنظامی	píng mín
民法专家	غیرنظامی	mín fǎ zhuān jiā
礼貌	نزاکت	lǐ mào
礼仪	نزاکت	lǐ yí
文明	تمدن	wén míng
教化	تمدن	jiào huà
文明的	متمدن	wén míng de
有礼的	متمدن	yǒu lǐ de
提出要求者	مدعی؛ مطالبه کننده	tí chū yāo qiú zhě
原告	مدعی؛ مطالبه کننده	yuán gào
湿粘的	بی حرارت؛ سرد ومرطوب	shī nián de
病态的	بی حرارت؛ سرد ومرطوب	bìng tài de
叫嚷	سروصدا؛ غریو کشیدن	jiào rǎng
夹钳	گیره؛ سوزن بند	jiā qián
夹紧	گیره؛ سوزن بند	jiā jǐn
氏族	طایفه؛ قبیله	shì zú
宗族	طایفه؛ قبیله	zōng zú
秘密的	غیرمشروع	mì mì de
当当声	صدای شیپور	dāng dāng shēng
铿锵声	صدای شیپور	kēng qiāng shēng
澄清	تبیین	chéng qīng
净化	تبیین	jìng huà
阐明	روشن کردن	chǎn míng
清楚	وضوح	qīng chu
明晰	وضوح	míng xī
克拉克	کلارک	kè lā kè
冲突	درگیری	chōng tū
撞击声	درگیری	zhuàng jī shēng
钩	سرچسب؛ جفت چپراست	gōu
班级	کلاس	bān jí
阶级	کلاس	jiē jí
古典的	کلاسیک	gǔ diǎn de
正统派的	کلاسیک	zhèng tǒng pài de
分类	طبقه‌بندی	fēn lèi
分级	طبقه‌بندی	fēn jí
归类	طبقه‌بندی کردن	guī lèi
教室	کلاس درس	jiào shì
咔嗒声	زغ زغ کردن	kā dā shēng
哗啦声	زغ زغ کردن	huā lā shēng
子句	ماده	zǐ jù
条款	ماده	tiáo kuǎn
爪	پنجه؛ چنگ	zhǎo
螯	پنجه؛ چنگ	áo
泥土	گل؛ رس	ní tǔ
肉体	گل؛ رس	ròu tǐ
干净的	تمیز، تمیز کردن	gān jìng de
清白的	تمیز، تمیز کردن	qīng bái de
清洁	زدایش؛ پاک سازی	qīng jié
扫除	زدایش؛ پاک سازی	sǎo chú
干净	نظافت؛ پاکی	gān jìng
使清洁	تطهیر کردن	shǐ qīng jié
洗净	پاکسازی	xǐ jìng
清洗法	پاکسازی	qīng xǐ fǎ
清楚的	روشن، واضح	qīng chu de
明确的	روشن، واضح	míng què de
清除	مفاصا؛ برائت ذمه	qīng chú
间隙	مفاصا؛ برائت ذمه	jiàn xì
晴朗	صافی؛ روشنی	qíng lǎng
明白	صافی؛ روشنی	míng bai
劈开	رخ؛ شکافتگی	pī kāi
裂片	رخ؛ شکافتگی	liè piàn
切肉刀	ساطور؛ ساتور	qiē ròu dāo
切割者	ساطور؛ ساتور	qiē gē zhě
仁慈	اعتدال عناصر	rén cí
宽厚	اعتدال عناصر	kuān hòu
牢牢抓住	گره کردن	láo láo zhuā zhù
钉紧	گره کردن	dīng jǐn
僧侣	روحانیون؛ مردروحانی	sēng lǚ
文书的	دفتری	wén shū de
办事员	کارمند	bàn shì yuán
职员	کارمند	zhí yuán
精明的	باهوش	jīng míng de
聪明地	بزیرکی؛ زیرکانه	cōng ming de
全然	بزیرکی؛ زیرکانه	quán rán
机灵	هشیاری؛ زرنگی	jī ling
聪明	هشیاری؛ زرنگی	cōng ming
咔哒声	تیک؛ صدای مختصر	kǎ da shēng
啪嗒声	تیک؛ صدای مختصر	pā tà shēng
客户	موکل؛ ارباب رجوع	kè hù
客户端	موکل؛ ارباب رجوع	kè hù duān
悬崖	صخره	xuán yá
气候	آب و هوا	qì hòu
社会趋势	آب و هوا	shè huì qū shì
高潮	اوج؛ منتها درجه	gāo cháo
极点	اوج؛ منتها درجه	jí diǎn
攀登	بالا رفتن	pān dēng
登山者	صعود کننده	dēng shān zhě
登杆器	صعود کننده	dēng gān qì
钉牢	مشت کردن؛ قاطع ساختن	dīng láo
敲弯	مشت کردن؛ قاطع ساختن	qiāo wān
粘紧	چسبیدن	nián jǐn
诊所	درمانگاه	zhěn suǒ
临床教学	درمانگاه	lín chuáng jiào xué
门诊部的	بالینی	mén zhěn bù de
修剪	گیره، کلیپ	xiū jiǎn
夹子	گیره، کلیپ	jiā zi
剪断	جمع در	jiǎn duàn
剪裁	جمع در	jiǎn cái
斗蓬	شنل؛ عبا	dǒu péng
大氅	شنل؛ عبا	dà chǎng
时钟	ساعت دیواری	shí zhōng
计时器	ساعت دیواری	jì shí qì
修道院	در صومعه گذاشتن	xiū dào yuàn
回廊	در صومعه گذاشتن	huí láng
结束	بستن؛ نزدیک	jié shù
完结	بستن؛ نزدیک	wán jié
关闭的	بسته	guān bì de
限于少数人的	بسته	xiàn yú shǎo shù rén de
密闭	نزدیکی؛ تقریب	mì bì
紧密	نزدیکی؛ تقریب	jǐn mì
壁橱	قفسه؛ گنجه	bì chú
小室	قفسه؛ گنجه	xiǎo shì
关闭	بسته شدن	guān bì
使终止	بسته شدن	shǐ zhōng zhǐ
凝块	لخته؛ علقه	níng kuài
一团	لخته؛ علقه	yī tuán
布料	پارچه	bù liào
织品	پارچه	zhī pǐn
云	ابر	yún
云端	ابر	yún duān
晴朗的	بی ابر؛ بدون ابر	qíng lǎng de
无云的	بی ابر؛ بدون ابر	wú yún de
多云的	ابری؛ میغی	duō yún de
有愁容的	ابری؛ میغی	yǒu chóu róng de
小丑	دلقک؛ الدنگ	xiǎo chǒu
乡下人	دلقک؛ الدنگ	xiāng xià rén
俱乐部	باشگاه	jù lè bù
木棍	باشگاه	mù gùn
线索	مدرک؛ سر نخ	xiàn suǒ
暗示	مدرک؛ سر نخ	àn shì
粗陋	ناشیانه؛ شلخته وار	cū lòu
不雅观的	ناشی؛ بی عرضه	bù yǎ guān de
抓紧	چنگ	zhuā jǐn
掌握	چنگ	zhǎng wò
教练	مربی	jiào liàn
长途汽车	مربی	cháng tú qì chē
马车夫	کالسکهچی؛ درشکهچی	mǎ chē fū
凝结	منعقد کردن؛ دلمه کردن	níng jié
聚沉	انعقاد؛ لختگی	jù chēn
煤	زغال کردن؛ زغال سنگ	méi
结合体	ائتلاف	jié hé tǐ
粗糙的	درشت؛ زبر	cū cāo de
下等的	درشت؛ زبر	xià děng de
海岸	ساحل	hǎi àn
滑坡	ساحل	huá pō
海岸的	ساحلی	hǎi àn de
沿海的	ساحلی	yán hǎi de
外套	کت، پالتو	wài tào
外面覆盖	کت، پالتو	wài miàn fù gài
涂层	روکش؛ کپسول	tú céng
上衣衣料	روکش؛ کپسول	shàng yī yī liào
哄	ریشخند کردن؛ چرب زبانی کردن	hōng
诱骗	ریشخند کردن؛ چرب زبانی کردن	yòu piàn
哄骗的	ریشخند	hǒng piàn de
圆块	کاهگلی	yuán kuài
捣碎	کاهگلی	dǎo suì
皮匠	پینه دوز	pí jiang
补鞋匠	پینه دوز	bǔ xié jiang
可卡因	کوکائین	kě kǎ yīn
古柯碱	کوکائین	gǔ kē jiǎn
鸡尾酒	کوکتل	jī wěi jiǔ
开味品	کوکتل	kāi wèi pǐn
可可粉	کاکائو	kě kě fěn
可可茶	کاکائو	kě kě chá
鳕	نوعی ماهی؛ کیسه کوچک	xuě
代码	کد	dài mǎ
密码	کد	mì mǎ
强制	ناگزیر کردن	qiáng zhì
强迫	ناگزیر کردن	qiǎng pò
威压	اجبار؛ عنف	wēi yā
共存	همزیستی کردن	gòng cún
和平共处	همزیستی؛ همزیگری	hé píng gòng chǔ
咖啡	قهوه	kā fēi
灵柩	تابوت	líng jiù
说服力	قدرت عقیده	shuō fú lì
切题	قدرت عقیده	qiè tí
识别	ادراک	shí bié
认知的	شناختی	rèn zhī de
认识的	شناختی	rèn shi de
互相耦合的	منسجم	hù xiāng ǒu hé de
清晰的	منسجم	qīng xī de
线圈	بوبین	xiàn quān
盘绕	بوبین	pán rào
硬币	سکه؛ سکه زدن	yìng bì
金钱	سکه؛ سکه زدن	jīn qián
造币	مسکوکات؛ ابداع واژه	zào bì
货币制度	مسکوکات؛ ابداع واژه	huò bì zhì dù
符合	مصادف بودن	fú hé
巧合	تصادف	qiǎo hé
同时发生	تصادف	tóng shí fā shēng
一致的	منطبق؛ مصادف	yī zhì de
符合的	منطبق؛ مصادف	fú hé de
感冒	سرد، سرما	gǎn mào
冷淡	برودت؛ سردی	lěng dàn
合作	همکاری کردن	hé zuò
勾结	همکاری کردن	gōu jié
倒塌	هوار؛ فروریختگی	dǎo tā
衣领	یقه؛ طوق	yī lǐng
颈圈	یقه؛ طوق	jǐng quān
同事	همکار	tóng shì
同僚	همکار	tóng liáo
聚集	جمع آوری کردن	jù jí
采集	مجموعه؛ وصول	cǎi jí
集体的	جمعی	jí tǐ de
聚集的	جمعی	jù jí de
聚合性	اجماعا؛ مجتمعا	jù hé xìng
收集家	گردآورنده	shōu jí jiā
收取款项的人	گردآورنده	shōu qǔ kuǎn xiàng de rén
大学	کالج	dà xué
集体组织的	دانشکدهای	jí tǐ zǔ zhī de
碰撞	خوردن؛ برخورد کردن	pèng zhuàng
互撞	خوردن؛ برخورد کردن	hù zhuàng
碰头的	مصادم	pèng tóu de
冒号	دونقطه؛ نشان دونقطه	mào hào
结肠	دونقطه؛ نشان دونقطه	jié cháng
陆军上校	سرهنگ	lù jūn shàng xiào
长官	سرهنگ	zhǎng guān
殖民的	استعماری	zhí mín de
殖民地的	استعماری	zhí mín dì de
移生	استعمار	yí shēng
移地发育	استعمار	yí de fā yù
殖民地	کلونی	zhí mín dì
移民队	کلونی	yí mín duì
颜色	رنگ؛ فام	yán sè
面色	رنگ؛ فام	miàn sè
科罗拉多	کلرادو	kē luó lā duō
染色的	رنگی؛ چرده	rǎn sè de
有色的	رنگی؛ چرده	yǒu sè de
着色	ملون؛ تلوین	zhuó sè
色彩	ملون؛ تلوین	sè cǎi
颜色丰富的	رنگارنگ	yán sè fēng fù de
鲜艳的	رنگارنگ	xiān yàn de
小马	شخص ناآزموده؛ نوعی طپانچه	xiǎo mǎ
苔绳	شخص ناآزموده؛ نوعی طپانچه	tāi shéng
哥伦比亚	کلمبیا	gē lún bǐ yà
专栏	ستون	zhuān lán
圆柱	ستون	yuán zhù
专栏作家	ستون‌نویس	zhuān lán zuò jiā
昏迷	اغماء؛ بیهشی	hūn mí
头梳	شانه؛ شانه کردن	tóu shū
鸡冠	شانه؛ شانه کردن	jī guān
争斗	مبارزه، مبارزه کردن	zhēng dòu
争斗者	رزمنده	zhēng dòu zhě
格斗者	رزمنده	gé dòu zhě
好斗的	جنگجو	hào dòu de
好事的	جنگجو	hǎo shì de
组合	ترکیب؛ اختلاط	zǔ hé
过来	آمدن	guò lái
喜剧	کمدی	xǐ jù
有趣的事情	کمدی	yǒu qù de shì qing
清秀的	خوش منظر	qīng xiù de
标致的	خوش منظر	biāo zhì de
彗星	ذوذنب؛ ستاره دنباله دار	huì xīng
舒适	راحتی؛ آسایش	shū shì
安慰	راحتی؛ آسایش	ān wèi
舒服的	راحت	shū fu de
轻松的	راحت	qīng sōng de
安乐地	براحتی	ān lè de
舒服地	براحتی	shū fu de
连环漫画	کمدی	lián huán màn huà
喜剧演员	کمدی	xǐ jù yǎn yuán
好笑的	خندهآور	hǎo xiào de
滑稽的	خندهآور	huá jī de
逗点	ویرگول؛ واوک	dòu diǎn
逗号	ویرگول؛ واوک	dòu hào
控制	فرمان؛ دستور دادن	kòng zhì
司令官	فرمانده	sī lìng guān
得学位	آغاز کردن	dé xué wèi
毕业典礼	فتح	bì yè diǎn lǐ
嘉奖	سفارش؛ تقریظ	jiā jiǎng
注解	نظر، نظر دادن	zhù jiě
批评	نظر، نظر دادن	pī píng
注释	تفسیر	zhù shì
评论	تفسیر	píng lùn
评论员	مفسر	píng lùn yuán
实况广播员	مفسر	shí kuàng guǎng bō yuán
商业	بازرگانی	shāng yè
商务	بازرگانی	shāng wù
商业的	تجارتی	shāng yè de
商用的	تجارتی	shāng yòng de
委任状	کمیسیون؛ کارمزد	wěi rèn zhuàng
任官令	کمیسیون؛ کارمزد	rén guān líng
委员	کمیسر	wěi yuán
理事	کمیسر	lǐ shì
委托	مرتکب شدن؛ سر سپردن	wěi tuō
犯罪	مرتکب شدن؛ سر سپردن	fàn zuì
交押	سرسپردگی	jiāo yā
委员会	کمیته؛ کمیسیون	wěi yuán huì
农产品	کالا	nóng chǎn pǐn
商品	کالا	shāng pǐn
通常的	رایج، مشترک	tōng cháng de
共同的	رایج، مشترک	gòng tóng de
一般	علیالرسم؛ عرفا	yī bān
普通	علیالرسم؛ عرفا	pǔ tōng
下议院	مردم عادی	xià yì yuàn
共和国	مشترک المنافع	gòng hé guó
联邦	مشترک المنافع	lián bāng
骚动	جنجال؛ هیاهو	sāo dòng
暴乱	جنجال؛ هیاهو	bào luàn
公有的	اشتراکی	gōng yǒu de
公社的	اشتراکی	gōng shè de
恳谈	کمون؛ مزرعه اشتراکی	kěn tán
社区	کمون؛ مزرعه اشتراکی	shè qū
显露	ارتباط برقرار کردن	xiǎn lù
传达	ارتباط برقرار کردن	chuán dá
交流	مکاتبه؛ ابلاغ	jiāo liú
交通	مکاتبه؛ ابلاغ	jiāo tōng
健谈的	ارتباطی	jiàn tán de
爱说话的	ارتباطی	ài shuō huà de
共享	صمیمیت وهمدلی	gòng xiǎng
共产主义	کمونیسم؛ مسلک اشتراکی	gòng chǎn zhǔ yì
共产主义者	کمونیست	gòng chǎn zhǔ yì zhě
共产党员	کمونیست	gòng chǎn dǎng yuán
公众	جامعه	gōng zhòng
紧凑的	فشرده؛ فشرده کردن	jǐn còu de
紧密的	فشرده؛ فشرده کردن	jǐn mì de
朋友	همدم	péng you
交往	یاری؛ مصاحبت	jiāo wǎng
友谊	یاری؛ مصاحبت	yǒu yì
公司	شرکت	gōng sī
友伴	شرکت	yǒu bàn
可比较的	قابل مقایسه	kě bǐ jiào de
比得上的	قابل مقایسه	bǐ dé shǎng de
比较的	مقایسه‌ای	bǐ jiào de
相对的	مقایسه‌ای	xiāng duì de
比较地	بالنسبه	bǐ jiào de
相对地	بالنسبه	xiāng duì de
比较	مقایسه کردن	bǐ jiào
比喻	مقایسه کردن	bǐ yù
对照	قیاس؛ مقایسه	duì zhào
分隔间	کوپه	fēn gé jiān
卧车包房	کوپه	wò chē bāo fáng
范围	حیطه؛ پرگار	fàn wéi
音域	حیطه؛ پرگار	yīn yù
同情	شفقت	tóng qíng
怜悯	شفقت	lián mǐn
慈悲的	شفیق؛ دلسوز	cí bēi de
富于同情心的	شفیق؛ دلسوز	fù yú tóng qíng xīn de
能共处的	سازگار	néng gòng chǔ de
可并立的	سازگار	kě bìng lì de
同国人	هم وطن	tóng guó rén
同国的	هم وطن	tóng guó de
迫使	مجبور کردن	pò shǐ
强制的	قانع‌کننده	qiáng zhì de
强迫性的	قانع‌کننده	qiǎng pò xìng de
偿还	جبران کردن	cháng huán
赔偿金	جبران	péi cháng jīn
赔偿的	جبرانی	péi cháng de
补偿的	جبرانی	bǔ cháng de
竞争	رقابت کردن	jìng zhēng
对抗	رقابت کردن	duì kàng
胜任	صلاحیت	shèng rèn
职称	صلاحیت	zhí chēng
胜任的	صالح	shèng rèn de
竞赛	رقابت	jìng sài
竞争的	رقابتی؛ قابل رقابت	jìng zhēng de
竞争者	رقیب؛ هم چشم	jìng zhēng zhě
竞争对手	رقیب؛ هم چشم	jìng zhēng duì shǒu
编辑	تدوین؛ همگردانی	biān jí
编纂	تدوین؛ همگردانی	biān zuǎn
编译	گردآوری کردن	biān yì
满足	خود خوشنودی	mǎn zú
自鸣得意	خود خوشنودی	zì míng dé yì
满足的	خود خوشنود؛ عشرت طلب	mǎn zú de
自满的	خود خوشنود؛ عشرت طلب	zì mǎn de
抱怨	شکایت کردن	bào yuàn
抗议	شکایت کردن	kàng yì
诉苦	گله؛ شکوه	sù kǔ
补足物	تکمیل کردن	bǔ zú wù
补语	تکمیل کردن	bǔ yǔ
补充的	مکمل؛ متممی	bǔ chōng de
补足的	مکمل؛ متممی	bǔ zú de
完全的	کامل، تکمیل کردن	wán quán de
十足的	کامل، تکمیل کردن	shí zú de
十分地	کاملا	shí fēn de
完井	تکمیل	wán jǐng
综合体	عقده؛ مجتمع	zōng hé tǐ
情结	عقده؛ مجتمع	qíng jié
肤色	بشره	fū sè
复杂	پیچیدگی	fù zá
遵从	انطباق	zūn cóng
顺从	انطباق	shùn cóng
弄复杂	مشکل کردن؛ بغرنج کردن	lòng fù zá
使错综	مشکل کردن؛ بغرنج کردن	shǐ cuò zōng
复杂化	پیچیدگی	fù zá huà
复杂情况	پیچیدگی	fù zá qíng kuàng
恭维	تعارف	gōng wei
问候的	تعارفی؛ تعارف آمیز	wèn hòu de
称赞的	تعارفی؛ تعارف آمیز	chēng zàn de
依从	تبعیت کردن	yī cóng
元件	مولفه	yuán jiàn
组件	مولفه	zǔ jiàn
组成	ساختن	zǔ chéng
写作	ساختن	xiě zuò
作曲家	آهنگساز	zuò qǔ jiā
作文	ترکیب، قطعه موسیقی	zuò wén
创作	ترکیب، قطعه موسیقی	chuàng zuò
混合物	ترکیب	hùn hé wù
复合词	ترکیب	fù hé cí
包括	درک نمودن	bāo kuò
可理解的	قابل درک	kě lǐ jiě de
包含	درک؛ فهم	bāo hán
广泛的	جامع	guǎng fàn de
有理解力的	جامع	yǒu lǐ xiè lì de
压缩	کمپرس؛ متراکمکردن	yā suō
压紧	کمپرس؛ متراکمکردن	yā jǐn
构成	شامل بودن	gòu chéng
妥协	مصالحه	tuǒ xié
折中	مصالحه	zhé zhōng
的变形	متصالح؛ سازشکار	de biàn xíng
被强制的	اجباری	bèi qiáng zhì de
强迫的	اجباری	qiǎng pò de
估算	محاسبه کردن	gū suàn
电脑	کامپیوتر	diàn nǎo
电子计算机	کامپیوتر	diàn zǐ jì suàn jī
凹的	مقعر	āo de
凹面的	مقعر	āo miàn dī
隐藏	پنهان کردن	yǐn cáng
掩盖	پنهان کردن	yǎn gài
隐匿	خفیه؛ نهفتگی	yǐn nì
隐蔽	خفیه؛ نهفتگی	yǐn bì
退让	اعتراف کردن	tuì ràng
空想	نخوت؛ خود بینی	kōng xiǎng
想得到的	قابل تصور	xiǎng dé dào de
可想象的	قابل تصور	kě xiǎng xiàng de
构思	تصور کردن	gòu sī
认为	تصور کردن	rèn wéi
浓缩	تغلیظ کردن	nóng suō
精选	تغلیظ کردن	jīng xuǎn
同中心的	هم مرکز؛ متحد المرکز	tóng zhōng xīn de
同轴的	هم مرکز؛ متحد المرکز	tóng zhóu de
观念	مفهوم	guān niàn
概念	مفهوم	gài niàn
概念的	ادراکی؛ تعقلی	gài niàn de
关心	پروا؛ مربوط بودن	guān xīn
音乐会	کنسرت	yīn yuè huì
和声	کنسرت	hé shēng
商定的	هم نوا	shāng dìng de
协定的	هم نوا	xié dìng de
特许	امتیاز	tè xǔ
让步	امتیاز	ràng bù
说服	استمالت	shuō fú
安抚	استمالت	ān fǔ
安抚的	آشتی کننده؛ استمالت پذیر	ān fǔ de
和好的	آشتی کننده؛ استمالت پذیر	hé hǎo de
简洁的	لب گو؛ فشرده ومختصر	jiǎn jié de
简明的	لب گو؛ فشرده ومختصر	jiǎn míng de
作结论	منعقد کردن؛ استنتاج کردن	zuō jié lùn
结论	عاقبت؛ خاتمه	jié lùn
结尾	عاقبت؛ خاتمه	jié wěi
决定性的	مسکت؛ اختتامی	jué dìng xìng de
确定性的	مسکت؛ اختتامی	què dìng xìng de
和睦	سازگاری؛ همدلی	hé mù
总汇	محل اجتماع؛ محل ملاقات	zǒng huì
凝结物	بتن، واقعی	níng jié wù
混凝土	بتن، واقعی	hùn níng tǔ
剧烈摇动	ضربت سخت	jù liè yáo dòng
震荡	ضربت سخت	zhèn dàng
判刑	محکوم کردن	pàn xíng
非难	محکومیت	fēi nàn
宣告有罪	محکومیت	xuān gào yǒu zuì
凝缩	تراکم؛ تغلیظ	níng suō
浓缩的	متراکم؛ غلیظ	nóng suō de
扼要的	متراکم؛ غلیظ	è yào de
谦逊	تواضع کردن	qiān xùn
屈就	تواضع کردن	qū jiù
谦逊的	نوازش کننده	qiān xùn de
故意屈尊的	نوازش کننده	gù yì qū zūn de
条件	وضعیت	tiáo jiàn
有条件的	مشروط؛ شرطی	yǒu tiáo jiàn de
有前提的	مشروط؛ شرطی	yǒu qián tí de
哀悼	عزا؛ تعزیت	āi dào
吊唁	عزا؛ تعزیت	diào yàn
举动	رفتار؛ کردار	jǔ dòng
导电率	رسانائی؛ قابلیت هدایت	dǎo diàn lǜ
传导率	رسانائی؛ قابلیت هدایت	chuán dǎo lǜ
领导者	هادی؛ رسانا	lǐng dǎo zhě
售票员	هادی؛ رسانا	shòu piào yuán
圆锥体	مخروط؛ میوه کاج	yuán zhuī tǐ
球果	مخروط؛ میوه کاج	qiú guǒ
糖果制造人	شیرینی فروش؛ شکر ریز	táng guǒ zhì zào rén
甜食商	شیرینی فروش؛ شکر ریز	tián shí shāng
邦联	هم پیمانی	bāng lián
同盟	اتحادیه؛ هم پیمانی	tóng méng
会议	کنفرانس	huì yì
讨论会	کنفرانس	tǎo lùn huì
坦白	اعتراف کردن	tǎn bái
心腹朋友	همراز؛ سرنگهدار	xīn fù péng you
知己	همراز؛ سرنگهدار	zhī jǐ
信心	اطمینان؛ اعتماد	xìn xīn
可靠	اطمینان؛ اعتماد	kě kào
有信心的	دلگرم	yǒu xìn xīn de
有把握的	دلگرم	yǒu bǎ wò de
秘密地	به‌طور محرمانه	mì mì de
作为心腹话地	به‌طور محرمانه	zuò wéi xīn fù huà de
自信地	متوکلاً	zì xìn de
安心地	متوکلاً	ān xīn de
结构	پیکربندی	jié gòu
表面配置	پیکربندی	biǎo miàn pèi zhì
限制	محبوس کردن	xiàn zhì
使不外出	محبوس کردن	shǐ bù wài chū
被禁闭	توقیف؛ زندان بودن	bèi jīn bì
证实	استوار کردن؛ تصدیق کردن	zhèng shí
没收	ضبط کردن؛ مسدود کردن	mò shōu
把充公	ضبط کردن؛ مسدود کردن	bǎ chōng gōng
充公	ضبط	chōng gōng
大火灾	آتش سوزی	dà huǒ zāi
合流	تلاقی؛ همریختنگاه	hé liú
合流的	متلاقی؛ همریز	hé liú de
汇合的	متلاقی؛ همریز	huì hé de
使一致	مطابق کردن؛ تطبیق کردن	shǐ yī zhì
