एक	یک (حرف تعریف نامعین)	ek
बारीक टुकड़ों में कटा	ریز ریز	baariik tukaron men kataa
ईसा	مسیح؛ یاعلی	iisaa
ईसा मसीह	مسیح؛ یاعلی	iisaa masiih
ईसाईयतअ	مسیحیت؛ عیسویت	iisaaiiyata
ईसाई धर्म	مسیحیت؛ عیسویت	iisaaii dharm
ईस्वी	نصارا	iisvii
ईसाई	نصارا	iisaaii
चिरकालिक	مزمن	chirakaalik
कालानुक्रमिक	زمانی	kaalaanukramik
गोलमटोल	خپله	golamatol
गलफुला	خپله	galaphulaa
गोमांस का लोथड़ा	مرغک	gomaans kaa lotharaa
चक	مرغک	chak
पादरी	کلیسا	paadarii
मथना	چرخی	mathanaa
बिलोना	چرخی	bilonaa
सेब की मदिरा	آب سیب؛ شربت سیب	seb kii madiraa
सिगार	سیگار برگ	sigaar
चुरूट	سیگار برگ	churuut
सिगरेट	سیگار	sigaret
बीड़ी	سیگار	biirii
चलचित्र	سینما	chalachitr
सिनेमा	سینما	sinemaa
चक्कर	دایره، دور چیزی کشیدن	chakkar
घेरा	مدار	gheraa
वृत्तीय	حلقهای؛ مدور	vrittiiy
घुमावदार	حلقهای؛ مدور	ghumaavadaar
फैलाना	گردش کردن	phailaanaa
भेजना	گردش کردن	bhejanaa
प्रचलन	گردش	prachalan
शिश्नाग्रच्छद	ختنه	shishnaagrachchhad
ख़तना	ختنه	khatanaa
सावधानी से	ملاحظه کار؛ مال اندیش	saavadhaanii se
स्थिति	چگونگی	sthiti
चौक	میدان؛ جولانگاه	chauk
अखाड़ा	میدان؛ جولانگاه	akhaaraa
गढ़	ارک؛ قلعه نظامی	garh / garh / kot
गढ़/कोट	ارک؛ قلعه نظامی	garh / garh / kot
बुलवाना	اقتباس کردن؛ اتخاذ سند کردن	bulavaanaa
उल्लेख करना	اقتباس کردن؛ اتخاذ سند کردن	ullekh karanaa
निवासी	شهروند	nivaasii
नागरिक	شهروند	naagarik
नागरिकता	شهروندی	naagarikataa / naagarik svatv / pauraadhikaar
नागरिक स्वत्व/पौराधिकार	شهروندی	naagarikataa / naagarik svatv / pauraadhikaar
नगर का	مدنی	nagar kaa
सभ्य	مدنی؛ غیرنظامی	sabhy
असैनिक	غیرنظامی	asainik
असैनिक नागरिक	غیرنظامی	asainik naagarik
शिष्टता	نزاکت	shishtataa
नम्रता	نزاکت	namrataa
सभ्यता	تمدن	sabhyataa
शिष्ट	متمدن	shisht
दावेदार	مدعی؛ مطالبه کننده	daavedaar
अधियाचक	مدعی؛ مطالبه کننده	adhiyaachak
चिल्लाना	سروصدا؛ غریو کشیدن	chillaanaa
कसना	گیره؛ سوزن بند	kasanaa
जकड़ना	گیره؛ سوزن بند	jakaranaa
गुप्त	غیرمشروع	gupt
अव्यक्त	غیرمشروع	avyakt
झनझनाना	صدای شیپور	jhanajhanaanaa
स्पष्ट करना	روشن کردن	spasht karanaa
शुद्ध करना	روشن کردن	shuddh karanaa
स्पष्टता	وضوح	spashtataa
क्लार्क	کلارک	klaark
बाँधना	سرچسب؛ جفت چپراست	baandhanaa
पकड़	سرچسب؛ جفت چپراست	pakar
शास्त्रीय	کلاسیک	shaastriiy
वर्गीकरण	طبقه‌بندی	vargiikaran
श्रेणीविभाजन	طبقه‌بندی	shreniivibhaajan
वर्गीकरण करना	طبقه‌بندی کردن	vargiikaran karanaa
वर्गीकृत करना	طبقه‌بندی کردن	vargiikrit karanaa
कक्षा	کلاس درس	kakshaa
खड़खड़ाहट	زغ زغ کردن	kharakharaahat
खड़खड़ की आवाज़ करना	زغ زغ کردن	kharakhar kii aavaaz karanaa
अनुच्छेद	ماده	anuchchhed
परिच्छेद	ماده	parichchhed
पंजा	پنجه؛ چنگ	panjaa
सॅड़सी	پنجه؛ چنگ	serasii
प्रतिभा	گل؛ رس	pratibhaa
मिट्टी	گل؛ رس	mittii
सफाई	زدایش؛ پاک سازی	saphaaii
सफ़ाई	نظافت؛ پاکی	safaaii
शुचि	نظافت؛ پاکی	shuchi
धोना	تطهیر کردن	dhonaa
मुक्त करना	تطهیر کردن	mukt karanaa
प्रक्षालन	پاکسازی	prakshaalan
अपमार्जन	پاکسازی	apamaarjan
निकासी	مفاصا؛ برائت ذمه	nikaasii
निर्बाधन	مفاصا؛ برائت ذمه	nirbaadhan
साफ साफ	به وضوح	saaph saaph
नि: सन्देह	به وضوح	ni: sandeh
चीर	رخ؛ شکافتگی	chiir
वक्ष विदरण	رخ؛ شکافتگی	vaksh vidaran
बड़ा छुरा	ساطور؛ ساتور	baraa chhuraa
माँस काटने का चाक्	ساطور؛ ساتور	maans kaatane kaa chaak
विभाजित	شکاف دار	vibhaajit
अनुकूलता	اعتدال عناصر	anukuulataa
कसकर पकड़ना	گره کردن	kasakar pakaranaa
पुरोहित वर्ग	روحانیون؛ مردروحانی	purohit varg
पुजार	روحانی؛ مجتهد	pujaar
पुरोहिती	دفتری	purohitii
लेखा संबंधी	دفتری	lekhaa sanbandhii
अधिकारी	کارمند	adhikaarii
होशियारी से	بزیرکی؛ زیرکانه	hoshiyaarii se
चुस्ती	هشیاری؛ زرنگی	chustii
होशियारी	هشیاری؛ زرنگی	hoshiyaarii
खट खट	تیک؛ صدای مختصر	khat khat
खटखट की आवाज़	تیک؛ صدای مختصر	khatakhat kii aavaaz
असामी	موکل؛ ارباب رجوع	asaamii
भृगु	صخره	bhrigu
प्रपात	صخره	prapaat
वातावरण	آب و هوا	vaataavaran
जलवायु	آب و هوا	jalavaayu
आरोही	صعود کننده	aarohii
बेल	صعود کننده	bel
करकर पकड़ना	مشت کردن؛ قاطع ساختن	karakar pakaranaa
बने रहना	چسبیدن	bane rahanaa
चिपक जाना	چسبیدن	chipak jaanaa
चिकित्सालय	درمانگاه	chikitsaalay
क्लीनिक	درمانگاه	kliinik
भावशून्य	بالینی	bhaavashuuny
सादगी	بالینی	saadagii
अंश	گیره، کلیپ	ansh
प्रहार	گیره، کلیپ	prahaar
कटिंग	جمع در	kating
आड़	شنل؛ عبا	aar
लबादा	شنل؛ عبا	labaadaa
घड़ी	ساعت دیواری	gharii
चेहरा	ساعت دیواری	cheharaa
एकान्तस्थल	در صومعه گذاشتن	ekaantasthal
बंद करना	بستن؛ نزدیک	band karanaa
निकट	بستن؛ نزدیک	nikat
सीमित	بسته	siimit
बंद	بسته	band
नज़दीकी	نزدیکی؛ تقریب	nazadiikii
बंदी	بسته شدن	bandii
थक्का	لخته؛ علقه	thakkaa
मूर्ख व्यक्ति	لخته؛ علقه	muurkh vyakti
कपड़ा	پارچه	kaparaa
कपड़े	لباس‌ها	kapare
वसन	لباس‌ها	vasan
वस्त्र	پوشاک	vastr
पहनावा	پوشاک	pahanaavaa
बादल	ابر	baadal
गुबारा	ابر	gubaaraa
मेघशून्य	بی ابر؛ بدون ابر	meghashuuny
मेघ रहित	بی ابر؛ بدون ابر	megh rahit
मटमैला	ابری؛ میغی	matamailaa
मेघाच्छादित	ابری؛ میغی	meghaachchhaadit
मसखरा	دلقک؛ الدنگ	masakharaa
संघ	باشگاه	sangh
गदा	باشگاه	gadaa
इशारा	مدرک؛ سر نخ	ishaaraa
गुच्छा	انبوه کردن؛ ضربه سنگین	guchchhaa
झुरमुट	انبوه کردن؛ ضربه سنگین	jhuramut
फूहड़ ढंग से	ناشیانه؛ شلخته وار	phuuhar dhang se
फूहड़	ناشی؛ بی عرضه	phuuhar
झुण्ड	خوشه	jhund
चंगुल	چنگ	changul
घोड़ागाड़ी चालक	کالسکهچی؛ درشکهچی	ghoraagaarii chaalak
किसी द्रव का जमना	منعقد کردن؛ دلمه کردن	kisii drav kaa jamanaa
किसी द्रव का जमाव	انعقاد؛ لختگی	kisii drav kaa jamaav
अंगार	زغال کردن؛ زغال سنگ	angaar
संगठन	ائتلاف	sangathan
ऐक्यअ	ائتلاف	aikya
तट	ساحل	tat
तटीय	ساحلی	tatiiy
हंस	کاهگلی	hans
नाटा घोड़ा	کاهگلی	naataa ghoraa
मोची	پینه دوز	mochii
{कोकेन}नशीली वस्तु	کوکائین	{kokena}nashiilii vastu
ककटेल	کوکتل	kakatel
मिक्षण	کوکتل	mikshan
कोको	کاکائو	koko
कड	نوعی ماهی؛ کیسه کوچک	kad
एक प्रकार की मछली	نوعی ماهی؛ کیسه کوچک	ek prakaar kii machhalii
नियमावली	کد	niyamaavalii
कोड	کد	kod
मजबूर करना	ناگزیر کردن	majabuur karanaa
जबरदस्ती करना	ناگزیر کردن	jabaradastii karanaa
अवपीडक	اجبار؛ عنف	avapiidak
प्रपीडन	اجبار؛ عنف	prapiidan
मिलजुलकर रहना	همزیستی کردن	milajulakar rahanaa
सह अस्तित्व	همزیستی؛ همزیگری	sah astitv
मिल जुलकर रहना	همزیستی؛ همزیگری	mil julakar rahanaa
कोफी	قهوه	kophii
कफ़ी	قهوه	kafii
ताबूत	تابوت	taabuut
ताबूत जिसमें लाश को रखकर जमीन में गाढ़ा जाता है	تابوت	taabuut jisamen laash ko rakhakar jamiin men gaarhaa jaataa hai
अकाट्यता	قدرت عقیده	akaatyataa
परोक्ष ज्ञान	ادراک	paroksh gyaan
बोध	شناختی	bodh
संज्ञानात्मक	شناختی	sangyaanaatmak
सुसंगत	منسجم	susangat
सामंजस्यपूर्ण	منسجم	saamanjasyapuurn
लच्छा	بوبین	lachchhaa
घूँघर	بوبین	ghuunghar
गढ़ना	مسکوکات؛ ابداع واژه	garhanaa
अनुरूप होना	مصادف بودن	anuruup honaa
अनुरूपता	تصادف	anuruupataa
हल्का	سرد، سرما	halkaa
उपेक्षा	برودت؛ سردی	upekshaa
सहयोग करना	همکاری کردن	sahayog karanaa
देशद्रोह करना	همکاری کردن	deshadroh karanaa
सहयोग	همکاری	sahayog
गिरावट	هوار؛ فروریختگی	giraavat
पतन	هوار؛ فروریختگی	patan
पट्टा	یقه؛ طوق	pattaa
हार	یقه؛ طوق	haar
सहकर्मी	همکار	sahakarmii
सहकार्यकर्ता	همکار	sahakaaryakartaa
भीड़	مجموعه؛ وصول	bhiir
सामूहिक	جمعی	saamuuhik
सामूहिक रूप से	اجماعا؛ مجتمعا	saamuuhik ruup se
जिलाधीश	گردآورنده	jilaadhiish
संकलनकर्ता	گردآورنده	sankalanakartaa
केंद्र	کالج	kendr
सहछात्र/छात्रा	دانشکدهای	sahachhaatr / chhaatraa / kalej yukt
कलेज युक्त	دانشکدهای	sahachhaatr / chhaatraa / kalej yukt
संघर्ष	برخورد	sangharsh
कोलन	دونقطه؛ نشان دونقطه	kolan
मलाशय	دونقطه؛ نشان دونقطه	malaashay
कर्नल	سرهنگ	karnal
उपनिवेशी	استعماری	upaniveshii
औपनिवेशिक	استعماری	aupaniveshik
उपनिवेशन	استعمار	upaniveshan
उपनगर	کلونی	upanagar
बस्ती	کلونی	bastii
रंग	رنگ؛ فام	rang
कोलोराडो	کلرادو	koloraado
रंजित	رنگی؛ چرده	ranjit
रंजक	ملون؛ تلوین	ranjak
रंगत	ملون؛ تلوین	rangat
बहाना	رنگ	bahaanaa
रंग बिरंगा	رنگارنگ	rang birangaa
बछेड़ा	شخص ناآزموده؛ نوعی طپانچه	bachheraa
अश्वशावक	شخص ناآزموده؛ نوعی طپانچه	ashvashaavak
कोलंबिया	کلمبیا	kolanbiyaa
पंक्ति	ستون	pankti
स्तंभलेखक	ستون‌نویس	stanbhalekhak
सम्मूर्छा	اغماء؛ بیهشی	sammuurchhaa
बेहोशी की नींद	اغماء؛ بیهشی	behoshii kii niind
छत्ता	شانه؛ شانه کردن	chhattaa
युद्ध	مبارزه، مبارزه کردن	yuddh
योद्धा	رزمنده	yoddhaa
लड़ाक्	رزمنده	laraak
विनोदप्रियता	کمدی	vinodapriyataa
कमेडी	کمدی	kamedii
मनोहर	خوش منظر	manohar
धूमकेतु	ذوذنب؛ ستاره دنباله دار	dhuumaketu
धूम्रकेतु	ذوذنب؛ ستاره دنباله دار	dhuumraketu
सुख	راحتی؛ آسایش	sukh
शांत	راحت	shaant
आराम से	براحتی	aaraam se
हास्यप्रद	کمدی	haasyaprad
हास्यजनक	کمدی	haasyajanak
ठठोलिया	خندهآور	thatholiyaa
अर्धविराम	ویرگول؛ واوک	ardhaviraam
अल्पविराम	ویرگول؛ واوک	alpaviraam
नायक	فرمانده	naayak
सेनापति	فرمانده	senaapati
आरम्भ होना	آغاز کردن	aarambh honaa
आरम्भ	فتح	aarambh
शुरुआत	فتح	shuruaat
आलोचना	نظر، نظر دادن	aalochanaa
मत प्रकट करना	نظر، نظر دادن	mat prakat karanaa
टिप्पणी	تفسیر	tippanii
भाष्य	تفسیر	bhaashy
समालोचक	مفسر	samaalochak
टीकाकार	مفسر	tiikaakaar
वाणिज्य	بازرگانی	vaanijy
व्यापारिक	تجارتی	vyaapaarik
आढत	کمیسیون؛ کارمزد	aadhat
आयुक्त	کمیسر	aayukt
लिखना	مرتکب شدن؛ سر سپردن	likhanaa
जिम्मेदारी	سرسپردگی	jimmedaarii
वादा	سرسپردگی	vaadaa
समिति	کمیته؛ کمیسیون	samiti
संसद	کمیته؛ کمیسیون	sansad
सामग्री	کالا	saamagrii
अक्सर	علیالرسم؛ عرفا	aksar
सामान्यतः	علیالرسم؛ عرفا	saamaanyath
लोकसभा	مردم عادی	lokasabhaa
राष्ट्र	مشترک المنافع	raashtr
राष्ट्रमंडल	مشترک المنافع	raashtramandal
हंगामा	جنجال؛ هیاهو	hangaamaa
तुफान	جنجال؛ هیاهو	tuphaan
साम्प्रदायिक	اشتراکی	saampradaayik
सामुदायिक	اشتراکی	saamudaayik
बातचीत/मैत्रिक बातचीत	کمون؛ مزرعه اشتراکی	baatachiit / maitrik baatachiit
पहुँचाना	ارتباط برقرار کردن	pahunchaanaa
सम्पर्क	مکاتبه؛ ابلاغ	sampark
संचार	مکاتبه؛ ابلاغ	sanchaar
बात चीत करना	ارتباطی	baat chiit karanaa
बातचीत करने एवं सम्पर्क रखने के ईच्छुक	ارتباطی	baatachiit karane evn sampark rakhane ke iichchhuk
कम्युनियन	صمیمیت وهمدلی	kamyuniyan
धार्मिक सम्प्रदाय	صمیمیت وهمدلی	dhaarmik sampradaay
साम्यवाद	کمونیسم؛ مسلک اشتراکی	saamyavaad
समष्टिवाद	کمونیسم؛ مسلک اشتراکی	samashtivaad
साम्यवादी	کمونیست	saamyavaadii
समष्टिवादी	کمونیست	samashtivaadii
ऐक्य	جامعه	aiky
सघन	فشرده؛ فشرده کردن	saghan
गठा हुआ	فشرده؛ فشرده کردن	gathaa huaa
साथी	همدم	saathii
संगति	یاری؛ مصاحبت	sangati
कंपनी	شرکت	kanpanii
तुलनीय	قابل مقایسه	tulaniiy
तूलनीय	قابل مقایسه	tuulaniiy
तुलनात्मक	مقایسه‌ای	tulanaatmak
अपेक्षाकृत	مقایسه‌ای	apekshaakrit
तुलनात्मक रूप से	بالنسبه	tulanaatmak ruup se
तुलना	مقایسه کردن	tulanaa
वर्णन करना	مقایسه کردن	varnan karanaa
सहानुभूति	شفقت	sahaanubhuuti
करुणामय	شفیق؛ دلسوز	karunaamay
हमवतन	هم وطن	hamavatan
एक देश वासी	هم وطن	ek desh vaasii
बाध्य करना	مجبور کردن	baadhy karanaa
अकाट्य	قانع‌کننده	akaaty
हरजाना देना	جبران کردن	harajaanaa denaa
मुआवजा	جبران	muaavajaa
प्रतिकर	جبران	pratikar
क्षतिपरक	جبرانی	kshatiparak
प्रयत्न करना	رقابت کردن	prayatn karanaa
बराबरी करना	رقابت کردن	baraabarii karanaa
सामर्थ्यता	صلاحیت	saamarthyataa
समर्थ	صالح	samarth
सक्षम	صالح	saksham
प्रतियोगिता	رقابت	pratiyogitaa
प्रतिस्पर्धात्मक	رقابتی؛ قابل رقابت	pratispardhaatmak
प्रतिस्पर्धापूर्ण	رقابتی؛ قابل رقابت	pratispardhaapuurn
प्रतियोगी	رقیب؛ هم چشم	pratiyogii
प्रतिद्वंदी	رقیب؛ هم چشم	pratidvandii
संग्रह	تدوین؛ همگردانی	sangrah
संतोष	خود خوشنودی	santosh
आत्मसंतोष	خود خوشنودی	aatmasantosh
आत्मसन्तुष्ट	خود خوشنود؛ عشرت طلب	aatmasantusht
आत्मसंतुष्ट	خود خوشنود؛ عشرت طلب	aatmasantusht
शिकायत करना	شکایت کردن	shikaayat karanaa
दुखड़ा रोना	شکایت کردن	dukharaa ronaa
कोटा	تکمیل کردن	kotaa
समपूरक	مکمل؛ متممی	samapuurak
भरपूर	کاملا	bharapuur
पूरी तरह से	کاملا	puurii tarah se
समाप्ति	تکمیل	samaapti
पेचीदा	عقده؛ مجتمع	pechiidaa
स्वरूप	بشره	svaruup
वर्ण	بشره	varn
जटिलता	پیچیدگی	jatilataa
समर्पण	انطباق	samarpan
उलझाना	مشکل کردن؛ بغرنج کردن	ulajhaanaa
जटिल बनाना	مشکل کردن؛ بغرنج کردن	jatil banaanaa
उलझन	پیچیدگی	ulajhan
शुभकामनाएँ	تعارف	shubhakaamanaaen
प्रशंसात्मक	تعارفی؛ تعارف آمیز	prashansaatmak
प्रशंसासूचक	تعارفی؛ تعارف آمیز	prashansaasuuchak
पालन करना	تبعیت کردن	paalan karanaa
घटक	مولفه	ghatak
रचयिता	آهنگساز	rachayitaa
संगीतकार	آهنگساز	sangiitakaar
लेखन	ترکیب، قطعه موسیقی	lekhan
संयोजन	ترکیب، قطعه موسیقی	sanyojan
अहाता	ترکیب	ahaataa
समाविष्ट करना	درک نمودن	samaavisht karanaa
बोधगम्य	قابل درک	bodhagamy
समझने के योग्य	قابل درک	samajhane ke yogy
विस्तृत	جامع	vistrit
दबाना	کمپرس؛ متراکمکردن	dabaanaa
संक्षिप्त करना	کمپرس؛ متراکمکردن	sankshipt karanaa
दबाव	تراکم؛ فشردگی	dabaav
संपीडन	تراکم؛ فشردگی	sanpiidan
मध्यमार्ग	مصالحه	madhyamaarg
अनिवार्य	اجباری	anivaary
गणना करना	محاسبه کردن	gananaa karanaa
परिकलन करना	محاسبه کردن	parikalan karanaa
कंप्यूटर	کامپیوتر	kanpyuutar
संगणक	کامپیوتر	sanganak
अवतल	مقعر	avatal
नतोदर	مقعر	natodar
छिपाव	خفیه؛ نهفتگی	chhipaav
छिपनाआ	خفیه؛ نهفتگی	chhipanaa
घमण्ड	نخوت؛ خود بینی	ghamand
गुमान	نخوت؛ خود بینی	gumaan
कल्पनीय	قابل تصور	kalpaniiy
कल्पना करना	تصور کردن	kalpanaa karanaa
ध्यान देना	تغلیظ کردن	dhyaan denaa
गाढ़ा करना	تغلیظ کردن	gaarhaa karanaa
तन्मयता	تمرکز؛ غلظت	tanmayataa
सकेन्द्री	هم مرکز؛ متحد المرکز	sakendrii
प्रत्यय	مفهوم	pratyay
अवधारणा	مفهوم	avadhaaranaa
धारणा	مفهوم	dhaaranaa
वैचारिक	ادراکی؛ تعقلی	vaichaarik
मिलकर किया हुआ कार्य	هم نوا	milakar kiyaa huaa kaary
समाधान	استمالت	samaadhaan
शान्त करना	استمالت	shaant karanaa
मैत्रीपूर्ण	آشتی کننده؛ استمالت پذیر	maitriipuurn
लघु	لب گو؛ فشرده ومختصر	laghu
निष्कर्ष	عاقبت؛ خاتمه	nishkarsh
निर्णायक	مسکت؛ اختتامی	nirnaayak
एकता	سازگاری؛ همدلی	ekataa
अन्वय	سازگاری؛ همدلی	anvay
हल	محل اجتماع؛ محل ملاقات	hal
साकार	بتن، واقعی	saakaar
पदार्थ रूप में	بتن، واقعی	padaarth ruup men
सहमत होना	دمساز شدن	sahamat honaa
मस्तिष्काघात	ضربت سخت	mastishkaaghaat
निंदा	محکومیت	nindaa
संघनन	تراکم؛ تغلیظ	sanghanan
कृपा दिखाना	تواضع کردن	kripaa dikhaanaa
अनुग्रह करना	تواضع کردن	anugrah karanaa
विनीत	نوازش کننده	viniit
औपबंधिक	مشروط؛ شرطی	aupabandhik
औप्बधिक	مشروط؛ شرطی	aupbadhik
श्रदांजली	عزا؛ تعزیت	shradaanjalii
प्रणाली	رفتار؛ کردار	pranaalii
चालकता	رسانائی؛ قابلیت هدایت	chaalakataa
चालक	هادی؛ رسانا	chaalak
गार्ड	هادی؛ رسانا	gaard
शंकु	مخروط؛ میوه کاج	shanku
कोन	مخروط؛ میوه کاج	kon
हलवाई	شیرینی فروش؛ شکر ریز	halavaaii
सह अपराधी	موتلف	sah aparaadhii
सलाह करना	اعطا کردن، مشورت کردن	salaah karanaa
सम्मेलन	کنفرانس	sammelan
अधिवेशन	کنفرانس	adhiveshan
अंगीकार	اعتراف	angiikaar
विश्वासपात्र	همراز؛ سرنگهدار	vishvaasapaatr / dilii dost / vishvaas paatr
दिली दोस्त/विश्वास पात्र	همراز؛ سرنگهدار	vishvaasapaatr / dilii dost / vishvaas paatr
आत्मविश्वास	اطمینان؛ اعتماد	aatmavishvaas
आत्मविश्वासी	دلگرم	aatmavishvaasii
गुप्त रूप से	به‌طور محرمانه	gupt ruup se
विश्वास सहित	متوکلاً	vishvaas sahit
समाकृति	پیکربندی	samaakriti
कंप्यूटर की व्यवस्था का प्रारूप	پیکربندی	kanpyuutar kii vyavasthaa kaa praaruup
कैद रखना	محبوس کردن	kaid rakhanaa
सीमीत रखना	محبوس کردن	siimiit rakhanaa
प्रसूति	توقیف؛ زندان بودن	prasuuti
परिरोध	توقیف؛ زندان بودن	parirodh
पक्का करना	استوار کردن؛ تصدیق کردن	pakkaa karanaa
पुष्टीकरण	تایید	pushtiikaran
पुष्टि	تایید	pushti
ज़ब्त करना	ضبط کردن؛ مسدود کردن	zabt karanaa
ज़ब्त कर लेना	ضبط کردن؛ مسدود کردن	zabt kar lenaa
ज़ब्ती	ضبط	zabtii
अग्निकाण्ड	آتش سوزی	agnikaand
द्वंद्व	نبرد؛ تضاد	dvandv
मेल	تلاقی؛ همریختنگاه	mel
जमावड़ा	تلاقی؛ همریختنگاه	jamaavaraa
संगमित	متلاقی؛ همریز	sangamit
मिलती हुई	متلاقی؛ همریز	milatii huii
एकमेल करना	مطابق کردن؛ تطبیق کردن	ekamel karanaa
दंग	نفرین شده؛ لعنت شده	dang
सामना	روبرو شدن	saamanaa
सामना करना	روبرو شدن	saamanaa karanaa
गड़बड़ा देना	گیج کردن؛ مختل کردن	garabaraa denaa
भ्रम	سردرگمی	bhram
जमा हुआ	منجمد	jamaa huaa
जन्मजात	ارثی؛ مادرزاد	janmajaat
जो जन्म ही से हो	ارثی؛ مادرزاد	jo janm hii se ho
संकुलन	احتقان	sankulan
संकुलता	احتقان	sankulataa
बधाई देना	تبریک گفتن	badhaaii denaa
बधाई	تهنیت؛ تبریک	badhaaii
बधाई सूचक वाक्य	تهنیت؛ تبریک	badhaaii suuchak vaaky
मण्डली	جماعت	mandalii
महासम्मेलन	کنگره؛ مجلس	mahaasammelan
सालाना बैठक	کنگره؛ مجلس	saalaanaa baithak
कंग्रेस संबंधी	کنگره‌ای	kangres sanbandhii
सम्मेलन संबंधी	کنگره‌ای	sammelan sanbandhii
अनुमान	حدس	anumaan
अटकलबाज़ी	حدس	atakalabaazii
संयोग/मेल	تلاقی؛ مقارنت	sanyog / sanyog / mel
जादू करना	افسونکردن؛ جادو کردن	jaaduu karanaa
आनुषंगिक	متصل	aanushangik
कनेक्टिकट	کانکتیکت	kanektikat
सम्बन्ध	پیوند؛ اتصال	sambandh
जोड़ने वाला	آگینی؛ اتصالی	jorane vaalaa
चरमपोशी	اغماض؛ غمض	charamaposhii
अक्षिसंकोच	اغماض؛ غمض	akshisankoch
जीतना	فتح کردن	jiitanaa
परास्त करना	فتح کردن	paraast karanaa
विजेताआ	غالب؛ فاتح	vijetaa
जीतने वाला	غالب؛ فاتح	jiitane vaalaa
विजय	تسخیر	vijay
जीत	تسخیر	jiit
विवेक	وجدان	vivek
सच्चाई	وجدان	sachchaaii
कर्तव्यनिष्ठ	وجدانی؛ باوجدان	kartavyanishth
शुद्ध अंतःकरणवाला	وجدانی؛ باوجدان	shuddh antahkaranavaalaa
होश	آگاهی	hosh
अनिवार्य सैनिक सेवा	سربازگیری	anivaary sainik sevaa
सेना में अनिवार्य भरती	سربازگیری	senaa men anivaary bharatii
तालमेल	اجماع	taalamel
नतीजा	موجب؛ عاقبت	natiijaa
परिणामी	نتیجه بخش؛ بر آیند	parinaamii
फल स्वरूप	نتیجه بخش؛ بر آیند	phal svaruup
परिणामिक	پربرآیند؛ نتیجهای	parinaamik
परिणामस्वरूप	در نتیجه	parinaamasvaruup / ath / isaliye
अतः/इसलिये	در نتیجه	parinaamasvaruup / ath / isaliye
संरक्षण	حفاظت	sanrakshan
अविनाशिता	حفاظت	avinaashitaa
रूढ़िवादी	مرتجع؛ محافظه کار	ruurhivaadii
वास्तविक मूल से कम	مرتجع؛ محافظه کار	vaastavik muul se kam
सुरक्षित रखना	حفاظت کردن	surakshit rakhanaa
मुरब्बा	حفاظت کردن	murabbaa
अत्याधिक	به میزان قابل توجهی	atyaadhik
बहुत अधिकता से	به میزان قابل توجهی	bahut adhikataa se
ध्यान रखनेवाला	محتاط؛ باملاحظه	dhyaan rakhanevaalaa
दूसरों का ध्यान रखने वाला	محتاط؛ باملاحظه	duusaron kaa dhyaan rakhane vaalaa
शामिल होना	یکپارچهبودن؛ تشکیل دادن	shaamil honaa
तसल्ली	دلداری	tasallii
सान्त्वनाएना	پیشانه؛ میزفرمان	saantvanaaenaa
सान्त्वना देना	پیشانه؛ میزفرمان	saantvanaa denaa
मजबूत बनाना	تحکیم کردن	majabuut banaanaa
मिल जाना	تحکیم کردن	mil jaanaa
समेकित	مستحکم	samekit
अवसिक्त	مستحکم	avasikt
दृढ़ीकरण	تحکیم؛ تشیید	drirhiikaran
जमावट	تحکیم؛ تشیید	jamaavat
सहायता संघ	کنسرسیوم	sahaayataa sangh
षड्यंत्र	توطئه	shadyantr
साजिश	توطئه	saajish
स्थिरता	استواری؛ ثبات	sthirataa
नियमितता	استواری؛ ثبات	niyamitataa
अपरिवर्तनशील	ثابت؛ دایم	aparivartanashiil
व्याकुलता	بهت وحیرت	vyaakulataa / vismay / ghabaraahat
विस्मय/घबराहट	بهت وحیرت	vyaakulataa / vismay / ghabaraahat
कब्ज़ से पीड़ित	یبس؛ مقوبض	kabz se piirit
कब्जी	یبوست	kabjii
क़ब्ज़	یبوست	qabz
निर्वाचनक्षेत्र	حوزه انتخابیه	nirvaachanakshetr
चुनाव क्षेत्र	حوزه انتخابیه	chunaav kshetr
बनावट	قانون اساسی	banaavat
गठन	قانون اساسی	gathan
संविधानी	قانونی	sanvidhaanii
स्वास्थ्य संबंधी	قانونی	svaasthy sanbandhii
संकीर्णन	تنگی؛ تنگ شدگی	sankiirnan
रचना	بر پا کردن	rachanaa
अभिप्राय	سازندگی؛ ساخت و ساز	abhipraay
रचनात्मक	سازنده	rachanaatmak
दंडाधिकारी	کنسول	dandaadhikaarii
राय लेना	مشورت کردن	raay lenaa
मशविरा करना	مشورت کردن	mashaviraa karanaa
चिकित्सक	مشاور	chikitsak
परामर्श	مشاوره	paraamarsh
विमर्श	مشاوره	vimarsh
खाना	مورد مصرف	khaanaa
जलाना	مورد مصرف	jalaanaa
उपभोक्ता	مصرف کننده؛ مسرف کننده	upabhoktaa
उपभोगता	مصرف کننده؛ مسرف کننده	upabhogataa
पूरी तरह हावी होने वला	استهلاک؛ مصرف کننده	puurii tarah haavii hone valaa
छूत	واگیر؛ هم گیری	chhuut
संक्रामक रोग	واگیر؛ هم گیری	sankraamak rog
संक्रामक	مسری؛ واگیردار	sankraamak
संसर्गज	مسری؛ واگیردار	sansargaj
संक्रामकता	واگیری	sankraamakataa
आधान	ظرف؛ محفه	aadhaan
संदूषित	فاسد؛ آلوده	sanduushit
दूषण	آلودگی؛ آلایش	duushan / duushan / sanduushan
दूषण/संदूषण	آلودگی؛ آلایش	duushan / duushan / sanduushan
