circular	حلقهای؛ مدور	serkyaler
circulate	گردش کردن	serkyaleyt
circulation	گردش	serkyaleyshen
circumcision	ختنه	serkamsizhen
circumspect	ملاحظه کار؛ مال اندیش	serkamspekt
circumstance	چگونگی	serkamstans
circus	میدان؛ جولانگاه	serkas
citadel	ارک؛ قلعه نظامی	sitadel
cite	اقتباس کردن؛ اتخاذ سند کردن	sait
citizen	شهروند	sitazan / sitizan
citizenship	شهروندی	sitizanship
city	شهر	siti
civic	مدنی	sivik
civil	مدنی؛ غیرنظامی	sivel
civilian	غیرنظامی	savilyan
civility	نزاکت	saviliti
civilization	تمدن	sivalizeyshen
civilized	متمدن	sivalaizd
claim	طلب؛ ادعا	kleym
claimant	مدعی؛ مطالبه کننده	kleymant
clammy	بی حرارت؛ سرد ومرطوب	klami
clamor	سروصدا؛ غریو کشیدن	klamer
clamp	گیره؛ سوزن بند	klamp
clan	طایفه؛ قبیله	klan
clandestine	غیرمشروع	klandestin
clang	صدای شیپور	klang
clarification	تبیین	klerafakeyshen
clarify	روشن کردن	klerafai
clarity	وضوح	kleriti
clark	کلارک	klaark
clash	درگیری	klash
clasp	سرچسب؛ جفت چپراست	klasp
class	کلاس	klas
classical	کلاسیک	klasikel
classification	طبقه‌بندی	klasafakeyshen
classify	طبقه‌بندی کردن	klasafai
classroom	کلاس درس	klasrum
clatter	زغ زغ کردن	klater
clause	ماده	kloz
claw	پنجه؛ چنگ	klo
clay	گل؛ رس	kley
clean	تمیز، تمیز کردن	klin
cleaning	زدایش؛ پاک سازی	klining
cleanliness	نظافت؛ پاکی	klenlinis
cleanse	تطهیر کردن	klenz
cleansing	پاکسازی	klenzing
clear	روشن، واضح	klir
clearance	مفاصا؛ برائت ذمه	klirans
clearly	به وضوح	klirli
clearness	صافی؛ روشنی	klirnas
cleavage	رخ؛ شکافتگی	klivaj / klivij
cleaver	ساطور؛ ساتور	kliver
cleft	شکاف دار	kleft
clemency	اعتدال عناصر	klemansi
clench	گره کردن	klench
clergy	روحانیون؛ مردروحانی	klerji
clergyman	روحانی؛ مجتهد	klerjiman
clerical	دفتری	klerakel / klerikel
clerk	کارمند	klerk
clever	باهوش	klever
cleverly	بزیرکی؛ زیرکانه	kleverli
cleverness	هشیاری؛ زرنگی	klevernas
click	تیک؛ صدای مختصر	klik
client	موکل؛ ارباب رجوع	klaiant
cliff	صخره	klif
climate	آب و هوا	klaimat / klaimit
climax	اوج؛ منتها درجه	klaimaks
climb	بالا رفتن	klaim
climber	صعود کننده	klaimer
clinch	مشت کردن؛ قاطع ساختن	klinch
cling	چسبیدن	kling
clinic	درمانگاه	klinik
clinical	بالینی	klinakel / klinikel
clip	گیره، کلیپ	klip
clipping	جمع در	kliping
cloak	شنل؛ عبا	klok
clock	ساعت دیواری	klaak
cloister	در صومعه گذاشتن	kloyster
close	بستن؛ نزدیک	klos / kloz
closed	بسته	klozd
closeness	نزدیکی؛ تقریب	klosnis
closet	قفسه؛ گنجه	klaazat
closure	بسته شدن	klozher
clot	لخته؛ علقه	klaat
cloth	پارچه	kloth
clothes	لباس‌ها	klodhz / kloz
clothing	پوشاک	klodhing
cloud	ابر	klaud
cloudless	بی ابر؛ بدون ابر	klaudlas
cloudy	ابری؛ میغی	klaudi
clown	دلقک؛ الدنگ	klaun
club	باشگاه	klab
clue	مدرک؛ سر نخ	klu
clump	انبوه کردن؛ ضربه سنگین	klamp
clumsily	ناشیانه؛ شلخته وار	klamsali
clumsy	ناشی؛ بی عرضه	klamzi
cluster	خوشه	klaster
clutch	چنگ	klach
coach	مربی	koch
coachman	کالسکهچی؛ درشکهچی	kochman
coagulate	منعقد کردن؛ دلمه کردن	koagyaleyt
coagulation	انعقاد؛ لختگی	koagyaleyshen
coal	زغال کردن؛ زغال سنگ	kol
coalition	ائتلاف	koalishen
coarse	درشت؛ زبر	kors
coast	ساحل	kost
coastal	ساحلی	kostel
coat	کت، پالتو	kot
coating	روکش؛ کپسول	koting
coax	ریشخند کردن؛ چرب زبانی کردن	koks
coaxing	ریشخند	koksing
cob	کاهگلی	kaab
cobbler	پینه دوز	kaabler
cocaine	کوکائین	kokeyn
cocktail	کوکتل	kaakteyl
cocoa	کاکائو	koko
cod	نوعی ماهی؛ کیسه کوچک	kaad / siodi
code	کد	kod
coerce	ناگزیر کردن	koers
coercion	اجبار؛ عنف	koershen
coexist	همزیستی کردن	koagzist
coexistence	همزیستی؛ همزیگری	koigzistans
coffee	قهوه	kaafi / kofi
coffin	تابوت	kofin
cogency	قدرت عقیده	kojansi
cognition	ادراک	kaagnishen
cognitive	شناختی	kaagnitiv
coherent	منسجم	kohirant
coil	بوبین	koyl
coin	سکه؛ سکه زدن	koyn
coinage	مسکوکات؛ ابداع واژه	koynij
coincide	مصادف بودن	koinsaid
coincidence	تصادف	koinsidans
coincident	منطبق؛ مصادف	koinsadant
cold	سرد، سرما	kold
coldness	برودت؛ سردی	koldnas
collaborate	همکاری کردن	kalabereyt
collaboration	همکاری	kalabereyshen
collapse	هوار؛ فروریختگی	kalaps
collar	یقه؛ طوق	kaaler
colleague	همکار	kaalig
collect	جمع آوری کردن	kalekt
collection	مجموعه؛ وصول	kalekshen
collective	جمعی	kalektiv
collectively	اجماعا؛ مجتمعا	kalektivli
collector	گردآورنده	kalekter
college	کالج	kaalij
collegiate	دانشکدهای	kalijit
collide	خوردن؛ برخورد کردن	kalaid
colliding	مصادم	kalaiding
collision	برخورد	kalizhen
colon	دونقطه؛ نشان دونقطه	kolan
colonel	سرهنگ	kernel
colonial	استعماری	kaloniel
colonization	استعمار	kaalanizeyshen
colony	کلونی	kaalani
color	رنگ؛ فام	kaler / koler
colorado	کلرادو	kaaleraado / kaalerado
colored	رنگی؛ چرده	kalerd
coloring	ملون؛ تلوین	kalering
colour	رنگ	kaler
colourful	رنگارنگ	colourful
colt	شخص ناآزموده؛ نوعی طپانچه	kolt
columbia	کلمبیا	kalambia
column	ستون	kaalam
columnist	ستون‌نویس	kaalamnast
coma	اغماء؛ بیهشی	koma
comb	شانه؛ شانه کردن	kom
combat	مبارزه، مبارزه کردن	kaambat / kambat
combatant	رزمنده	kambatant
combative	جنگجو	kambativ / kaambativ
combination	ترکیب؛ اختلاط	kaambaneyshen
combine	آمیختن؛ ادغام	kaambain / kambain
come	آمدن	kam
comedy	کمدی	kaamadi
comely	خوش منظر	kamli
comet	ذوذنب؛ ستاره دنباله دار	kaamat
comfort	راحتی؛ آسایش	kamfert
comfortable	راحت	kamfertabel
comfortably	براحتی	kamfertabli
comic	کمدی	kaamik
comical	خندهآور	kaamikel
comma	ویرگول؛ واوک	kaama
command	فرمان؛ دستور دادن	kamand
commander	فرمانده	kamander
commence	آغاز کردن	kamens
commencement	فتح	kamensmant
commendation	سفارش؛ تقریظ	kaamandeyshen
comment	نظر، نظر دادن	kaament
commentary	تفسیر	kaamanteri
commentator	مفسر	kaamanteyter
commerce	بازرگانی	kaamers
commercial	تجارتی	kamershel
commission	کمیسیون؛ کارمزد	kamishen
commissioner	کمیسر	kamishener
commit	مرتکب شدن؛ سر سپردن	kamit
commitment	سرسپردگی	kamitmant
committee	کمیته؛ کمیسیون	kamiti
commodity	کالا	kamaaditi
common	رایج، مشترک	kaaman
commonly	علیالرسم؛ عرفا	kaamanli
commons	مردم عادی	kaamanz
commonwealth	مشترک المنافع	kaamanwelth
commotion	جنجال؛ هیاهو	kamoshen
communal	اشتراکی	kamyunel
commune	کمون؛ مزرعه اشتراکی	kaamyun / kamyun
communicate	ارتباط برقرار کردن	kamyunakeyt
communication	مکاتبه؛ ابلاغ	kamyunakeyshen
communicative	ارتباطی	kamyunakativ
communion	صمیمیت وهمدلی	kamyunyan
communism	کمونیسم؛ مسلک اشتراکی	kaamyanizam
communist	کمونیست	kaamyanast
community	جامعه	kamyuniti
compact	فشرده؛ فشرده کردن	kaampakt / kampakt
companion	همدم	kampanyan
companionship	یاری؛ مصاحبت	kampanyanship
company	شرکت	kampani
comparable	قابل مقایسه	kaamperabel / kamperabel
comparative	مقایسه‌ای	kamperativ
comparatively	بالنسبه	kamperativli
compare	مقایسه کردن	kamper
comparison	قیاس؛ مقایسه	kamperasan
compartment	کوپه	kampaartmant
compass	حیطه؛ پرگار	kampas
compassion	شفقت	kampashen
compassionate	شفیق؛ دلسوز	kampashenat
compatible	سازگار	kampatabel
compatriot	هم وطن	kampeytriat
compel	مجبور کردن	kampel
compelling	قانع‌کننده	kampeling
compensate	جبران کردن	kaampanseyt
compensation	جبران	kaampanseyshen
compensatory	جبرانی	kampensatori
compete	رقابت کردن	kampit
competence	صلاحیت	kaampatins
competent	صالح	kaampatint
competition	رقابت	kaampatishen
competitive	رقابتی؛ قابل رقابت	kampetativ / kampetitiv
competitor	رقیب؛ هم چشم	kampetater / kampetiter
compilation	تدوین؛ همگردانی	kaampaleyshen
compile	گردآوری کردن	kampail
complacency	خود خوشنودی	kampleysansi
complacent	خود خوشنود؛ عشرت طلب	kampleysant
complain	شکایت کردن	kampleyn
complaint	گله؛ شکوه	kampleynt
complement	تکمیل کردن	kaamplamant
complementary	مکمل؛ متممی	kaamplamentri / kaamplamenchi
complete	کامل، تکمیل کردن	kamplit
completely	کاملا	kamplitli
completion	تکمیل	kamplishen
complex	عقده؛ مجتمع	kaampleks / kampleks
complexion	بشره	kamplekshen
complexity	پیچیدگی	kampleksiti
compliance	انطباق	kamplaians
complicate	مشکل کردن؛ بغرنج کردن	kaamplakeyt
complication	پیچیدگی	kaamplakeyshen
compliment	تعارف	kaamplament
complimentary	تعارفی؛ تعارف آمیز	kaamplamenteri
comply	تبعیت کردن	kamplai
component	مولفه	kamponant
compose	ساختن	kampoz
composer	آهنگساز	kampozer
composition	ترکیب، قطعه موسیقی	kaampazishen
compound	ترکیب	kaampaund / kampaund
comprehend	درک نمودن	kaamprihend
comprehensible	قابل درک	kaamprihensabel
comprehension	درک؛ فهم	kaamprihenshen
comprehensive	جامع	kaamprihensiv
compress	کمپرس؛ متراکمکردن	kaampres / kampres
compression	تراکم؛ فشردگی	kampreshen
comprise	شامل بودن	kampraiz
compromise	مصالحه	kaampramaiz
compromiser	متصالح؛ سازشکار	kaampramaizer
compulsory	اجباری	kampalseri
compute	محاسبه کردن	kampyut
computer	کامپیوتر	kampyuter
concave	مقعر	kaankeyv
conceal	پنهان کردن	kansil
concealment	خفیه؛ نهفتگی	kansilmant
concede	اعتراف کردن	kansid
conceit	نخوت؛ خود بینی	kansit
conceivable	قابل تصور	kansivabel
conceive	تصور کردن	kansiv
concentrate	تغلیظ کردن	kaansantreyt
concentration	تمرکز؛ غلظت	kaansantreyshen
concentric	هم مرکز؛ متحد المرکز	kansentrik
concept	مفهوم	kaansept
conception	مفهوم	kansepshen
conceptual	ادراکی؛ تعقلی	kansepchuel
concern	پروا؛ مربوط بودن	kansern
concert	کنسرت	kaansert / kansert
concerted	هم نوا	kansertad / kansertid
concession	امتیاز	kanseshen
conciliation	استمالت	kansilieyshen
conciliatory	آشتی کننده؛ استمالت پذیر	kansiliatori / kansilyatori
concise	لب گو؛ فشرده ومختصر	kansais
conclude	منعقد کردن؛ استنتاج کردن	kanklud
conclusion	عاقبت؛ خاتمه	kankluzhen
conclusive	مسکت؛ اختتامی	kanklusiv
concord	سازگاری؛ همدلی	kaankord / kaankerd
concourse	محل اجتماع؛ محل ملاقات	kaankors
concrete	بتن، واقعی	kankrit / kaankrit
concur	دمساز شدن	kanker
concussion	ضربت سخت	kankashen
condemn	محکوم کردن	kandem
condemnation	محکومیت	kaandamneyshen
condensation	تراکم؛ تغلیظ	kaandanseyshen
condensed	متراکم؛ غلیظ	kandenst
condescend	تواضع کردن	kaandisend
condescending	نوازش کننده	kaandisending
condition	وضعیت	kandishen
conditional	مشروط؛ شرطی	kandishenel
condolence	عزا؛ تعزیت	kandolans
conduct	رفتار؛ کردار	kaandakt
conductivity	رسانائی؛ قابلیت هدایت	kaandaktiviti
conductor	هادی؛ رسانا	kandakter
cone	مخروط؛ میوه کاج	kon
confectioner	شیرینی فروش؛ شکر ریز	kanfekshener
confederacy	هم پیمانی	kanfederasi / kanfedrasi
confederate	موتلف	kanfederat / kanfedereyt
confederation	اتحادیه؛ هم پیمانی	kanfedereyshen
confer	اعطا کردن، مشورت کردن	kanfer
conference	کنفرانس	kaanferans / kaanfrans
confess	اعتراف کردن	kanfes
confession	اعتراف	kanfeshen
confidant	همراز؛ سرنگهدار	kaanfadaant
confidence	اطمینان؛ اعتماد	kaanfadans
confident	دلگرم	kaanfadant
confidentially	به‌طور محرمانه	kaanfadenshali
confidently	متوکلاً	kaanfadantli
configuration	پیکربندی	kanfigyereyshen
confine	محبوس کردن	kanfain
confinement	توقیف؛ زندان بودن	kanfainmant
confirm	استوار کردن؛ تصدیق کردن	kanferm
confirmation	تایید	kaanfermeyshen
confiscate	ضبط کردن؛ مسدود کردن	kaanfaskeyt
confiscation	ضبط	kaanfaskeyshen
conflagration	آتش سوزی	kaanflagreyshen
conflict	نبرد؛ تضاد	kaanflikt / kanflikt
confluence	تلاقی؛ همریختنگاه	kaanfluans
confluent	متلاقی؛ همریز	kaanfluant
conform	مطابق کردن؛ تطبیق کردن	kanform
conformity	مطابقت؛ تطابق	kanformiti
confounded	نفرین شده؛ لعنت شده	kanfaundid
confront	روبرو شدن	kanfrant
confrontation	رویارویی	kaanfranteyshen
confuse	گیج کردن؛ مختل کردن	kanfyuz
confusing	ملتبس	kanfyuzing
confusion	سردرگمی	kanfyuzhen
congealed	منجمد	kanjild
congenial	همخو؛ هم مشرب	kanjinyel
congenital	ارثی؛ مادرزاد	kanjenatel
congestion	احتقان	kanjeschan
congratulate	تبریک گفتن	kangrachaleyt
congratulation	تهنیت؛ تبریک	kangrachaleyshen
congregation	جماعت	kaanggrageyshen
congress	کنگره؛ مجلس	kaanggras
congressional	کنگره‌ای	kangreshenel
conical	کله قندی	kaanikel / konikel
conjecture	حدس	kanjekcher / kanjeksher
conjunction	تلاقی؛ مقارنت	kanjangkshen
conjure	افسونکردن؛ جادو کردن	kaanjer
connect	وصل کردن	kanekt
connected	متصل	kanektid
connecticut	کانکتیکت	kanetakat
connection	پیوند؛ اتصال	kanekshen
connective	آگینی؛ اتصالی	kanektiv
connivance	اغماض؛ غمض	kanaivans
conquer	فتح کردن	kaangker
conqueror	غالب؛ فاتح	kaangkerer
conquest	تسخیر	kaangkwest
conscience	وجدان	kaanshens
conscientious	وجدانی؛ باوجدان	kaanshienshas
conscious	بهوش؛ واقف	kaanshas
consciousness	آگاهی	kaanshasnas
conscription	سربازگیری	kanskripshen
consecutive	متوالی	kansekyativ
consensus	اجماع	kansensas
consent	رضایت، رضایت دادن	kansent
consequence	موجب؛ عاقبت	kaansakwans
consequent	نتیجه بخش؛ بر آیند	kaansakwant
consequential	پربرآیند؛ نتیجهای	kaansakwenshel
consequently	در نتیجه	kaansakwantli / kaansakwentli
conservation	حفاظت	kaanserveyshen
conservative	مرتجع؛ محافظه کار	kanservativ
conserve	حفاظت کردن	kanserv
consider	در نظر گرفتن	kansider
considerable	قابل توجه	kansiderabel
considerably	به میزان قابل توجهی	kansiderabli
considerate	محتاط؛ باملاحظه	kansiderat
consideration	توجه؛ ملاحظه	kansidereyshen
consist	یکپارچهبودن؛ تشکیل دادن	kansist
consistence	درجه غلظت	kansistans
consistency	سازگاری	kansistansi
consistently	به طور مداوم	kansistantli
consolation	دلداری	kaansaleyshen
console	پیشانه؛ میزفرمان	kaansol / kansol
consolidate	تحکیم کردن	kansaalideyt
consolidated	مستحکم	kansaaladeytad
consolidation	تحکیم؛ تشیید	kansaaladeyshen
consonant	بیواکه؛ همخوان	kaansanant
consortium	کنسرسیوم	kansorshiam / kansorshyam
conspiracy	توطئه	kanspirasi
constancy	استواری؛ ثبات	kaanstansi
constant	ثابت؛ دایم	kaanstant
constantly	دایم؛ دائما	kaanstantli
consternation	بهت وحیرت	kaansterneyshen
constipated	یبس؛ مقوبض	kaanstapeytad
constipation	یبوست	kaanstapeyshen
constituency	حوزه انتخابیه	kanstichuansi
constitute	تشکیل دادن	kaanstatut
constitution	قانون اساسی	kaanstatushen
constitutional	قانونی	kaanstatushenel
constraint	محدودیت	kanstreynt
constriction	تنگی؛ تنگ شدگی	kanstrikshen
construct	بر پا کردن	kanstrakt / kaanstrakt
construction	سازندگی؛ ساخت و ساز	kanstrakshen
constructive	سازنده	kanstraktiv
consul	کنسول	kaansel
consult	مشورت کردن	kansalt
consultant	مشاور	kansaltant
consultation	مشاوره	kaansalteyshen
consulting	مشاوره؛ استشاره	kansalting
consumed	مورد مصرف	kansumd
consumer	مصرف کننده؛ مسرف کننده	kansumer
consuming	استهلاک؛ مصرف کننده	kansuming
consummate	بوصال رسیدن	kaansamat / kaansameyt
consumption	مصرف	kansampshen / kansamshen
contact	ارتباط؛ تماس	kaantakt
contagion	واگیر؛ هم گیری	kanteyjan
contagious	مسری؛ واگیردار	kanteyjas
contagiousness	واگیری	kanteyjasnas
contain	حاوی بودن	kanteyn
container	ظرف؛ محفه	kanteyner
contaminated	فاسد؛ آلوده	kantamaneytid
contamination	آلودگی؛ آلایش	kantamaneyshen
contemplate	تامل کردن	kaantampleyt
contemplation	غور	kaantampleyshen
contemplative	معقول؛ تفکری	kantemplativ
contemporary	همزمان؛ معاصر	kantempereri
contempt	تحقیر	kantempt
contemptible	استهزاء آمیز	kantemptabel
contemptuous	قابل تحقیر	kantempchuas
contend	رقابت کردن	kantend
contender	رقیب	kantender
content	راضی	kaantent / kantent
contention	اختلاف	kantenshen
contentment	خرسندی	kantentmant
contest	مسابقه؛ منازعه کردن	kaantest / kantest
context	زمینه	kaantekst
continent	قاره	kaantanant
continental	بری؛ اقلیمی	kaantanentel / kaantanenel
continual	مدام؛ مداوم	kantinyuel
continually	به طور مستمر	kantinyuali / kantinyuli
continuation	ادامه؛ دنباله	kantinyueyshen
continue	ادامه دادن	kantinyu
continuity	پیوستگی؛ تسلسل	kaantanuiti
continuous	پیاپی؛ لاینقطع	kantinyuas
continuously	پیوسته؛ همچنان	kantinyuasli
contour	حدفاصل؛ محیط مرئی	kaantur
contraband	اجناس قاچاق	kaantraband
contract	پیمان؛ مقاطعه	kaantrakt / kantrakt
contracting	پیمان کار	kaantrakting
contraction	گرفتگی؛ انقباض	kantrakshen
contractor	پیمانکار	kaantrakter
contractual	پیمانی؛ عهدی	kantrakchuel
contradict	تناقض داشتن؛ خلاف گفتن	kaantradikt
contradiction	تناقض	kaantradikshen
contradictory	مغایر؛ نقیض	kaantradikteri
contrary	برعکس	kaantreri / kantreri
contrast	تباین؛ مباینت	kaantrast / kantrast
contribute	هم بخشی کردن؛ همکاری و کمک کردن	kantribyut
contribution	کمک؛ اعانه	kaantrabyushen
contributor	مشارکت‌کننده	kantribyater
contrivance	تمهید	kantraivans
control	کنترل، کنترل کردن	kantrol
controller	ممیز؛ بازبین	kantroler
controversial	بحث‌برانگیز	kaantravershel
controversy	مناقشه	kaantraversi
convalescent	بهگرا	kaanvalesant
convene	هم آیش کردن؛ دورهم جمع شدن	kanvin
convenience	راحتی	kanvinyans
convenient	بی دغدغه	kanvinyant
conveniently	مصلحه؛ به راحتی	kanvinyantli
convent	دیر؛ صومعه	kaanvant / kaanvent
convention	کنوانسیون	kanvenshen
conventional	متعارف	kanvenshenel
converge	متقارب شدن؛ همگرا بودن	kanverj
conversation	مکالمه	kaanverseyshen
conversational	مکالمهای؛ گفتگوئی	kaanverseyshenel
converse	محاوره کردن	kaanvers / kanvers
conversely	بالعکس	kaanversli
conversion	تبدیل	kanverzhen
convert	نقد کردن	kaanvert / kanvert
convertible	قابل تسعیر	kanvertabel
convex	محدب؛ محذب	kanveks / kaanveks
convey	منتقل کردن	kanvey
conveyance	سند انتقال؛ وسیله نقلیه	kanveyans
convict	محکوم کردن	kaanvikt / kanvikt
conviction	محکومیت	kanvikshen
convince	متقاعد کردن؛ قانع کردن	kanvins
convincing	متقاعد کننده	kanvinsing
convoluted	بهم تابیده	kaanvalutad
convoy	کاروان	kaanvoy
convulsion	تشنج؛ اختلاج	kanvalshen
convulsive	متشنج؛ تشنجی	kanvalsiv
cook	آشپز؛ آشپزی کردن	kuk
cooker	اجاق گاز	kuker
cooking	آشپزی	kuking
cool	خنک، باحال	kul
cooling	خنک کننده؛ خنک سازی	kuling
coolness	خنکی؛ خون سردی	kulnas
cooperate	همکاری کردن	koaapereyt / kwaapereyt
cooperation	اشتراک؛ مشارکت	koaapereyshen / kwaapereyshen
cooperative	تعاونی	koaapereytiv
coordinate	هماهنگ کردن	koordanat / koordaneyt
coordination	هماهنگی	koordaneyshen
coordinator	هماهنگ‌کننده	koordaneyter
cop	پلیس	kaap
cope	کنار آمدن	kop
copper	مس	kaaper
copy	کپی، کپی کردن	kaapi
copying	استنساخ؛ رونویسی	kaapiing
copyright	حق چاپ	kaapirait
coral	مرجان؛ بسد	korel
cord	طناب؛ سیم	kord
cordial	قلبی؛ مقوی	korjel
core	سلف	kor
cork	سربطری؛ چوب پنبه	kork
corn	ذرت؛ غله	korn
corner	گوشه	korner
corollary	نتیجه فرعی	koraleri
coronary	اکیلی	koraneri
coroner	پزشک قانونی	koraner
coronet	نیم تاج	koranet
corporal	جسمی؛ سرجوخه	korperel / korprel
corporation	شرکت	korpereyshen
corps	سپاه	kor / korz
corpse	لاشه؛ مردار	korps
correct	صحیح، اصلاح کردن	kerekt
correction	اصلاح	kerekshen
corrective	اصلاحی	kerektiv
correctly	به درستی	kerektli
correctness	درستی	kerektnas
correlate	همبستگی داشتن	koraleyt / koralat
correlation	همبستگی	koraleyshen
correspond	مطابقت داشتن	koraspaand
correspondence	مکاتبات	koraspaandans
correspondent	خبرنگار	koraspaandant
corresponding	متناظر	koraspaanding
corridor	راهرو	korader / korider
corrosive	خورنده؛ اکال	kerosiv
corrupt	فاسد	kerapt
corruption	فساد	kerapshen
corset	شکم بند	korsat
cossack	قزاق	kosak
cost	هزینه، هزینه داشتن	kaast / kost
coster	سبزی فروش	koster
costly	پرهزینه	kaastli / kostli
costume	جامه؛ لباس محلی	kaastum
cosy	گرم ونرم	kozi
cottage	کلبه	kaataj / kaatij
cotton	پنبه؛ کتانی	kaatan / kotan
couch	مبل	kauch
cough	سرفه؛ سرفه کردن	kaaf / kof
could	می‌توانست (فعل کمکی)	kud
council	مجلس؛ هیئت	kaunsel
councillor	عضو شورا	councillor
councilor	عضو انجمن؛ عضو شورا	kaunsaler / kaunsler
counsel	مشورت	kaunsel
counselling	مشاوره	counselling
counsellor	مشاور	kaunsaler / kaunsler
counselor	وکیل مدافع	kaunsaler
count	شمردن	kaunt
countenance	لقا	kauntanans
counter	مقابله کردن (با استدلال)؛ پیشخوان	kaunter
counteract	خنثی کردن؛ خنثی نمودن	kaunterakt
counterattack	حمله متقابل کردن	kaunteratak
counterpart	همتا	kaunterpaart
countess	کنتس؛ همسر کنت	kauntas
countless	بی‌شمار	kauntlas
country	کشور	kantri
countryman	هم میهن	kantriman
countryside	ییلاقات؛ بیرون شهر	kantrisaid
coup	کودتا	ku
couple	زوج، چند	kapel
coupon	کوپن	kupon / kyupon
courage	دل؛ جرات	keraj / kerij
courageous	دلاور؛ شجاع	kereyjas
courier	پیک؛ حملهدار	kerier
course	دوره، البته	kors
court	دادگاه؛ دربار	kort
courteous	مبادی آداب	kertias
courtesy	ادب	kertasi
courthouse	کاخ دادگستری	korthaus
courtly	درباری	kortli
courtship	نظر بازی	korchip
courtyard	صحن	kortyaard
cousin	پسرعمو/عمه/دایی/خاله، دخترعمو/عمه/دایی/خاله	kazan
covenant	میثاق بستن	kavanant
cover	پوشاندن، پوشش	kaver
coverage	پوشش	kaveraj / kaverij
covert	پوشپر	kovert
cow	گاو	kau
coward	ترسو؛ ضعیفالنفس	kauerd
cowardice	بیدلی؛ نامردی	kauerdas
cowardly	بی حمیت	kauerdli
cowboy	گاوچران	kauboy
crab	خرچنگ	krab
crack	ترک، شکستن	krak
cradle	گهواره؛ مهد	kreydel
craft	ساختن؛ مهارت، صنایع دستی	kraft
craftsman	صنعت گر؛ پیشه ور	kraftsman / krafsman
craftsmanship	صنعت گری	kraftsmanship / krafsmanship
crafty	موذی؛ هفت خط	krafti
cramp	چنگوک؛ چنگه	kramp
crane	کلنگ؛ جرثقیل	kreyn
cranial	جمجمه ای	kreynyel
crank	محوردار؛ میل لنگ	krangk
crash	سقوط؛ برخورد کردن	krash
crate	صندوقه؛ درجعبه گذاردن	kreyt
crater	دهانه آتش فشان	kreyter
crawl	خزیدن	krol
crazy	دیوانه	kreyzi
creak	غژغژ کردن	krik
cream	خامه، کرم	krim
crease	تاه؛ تاه کردن	kris
create	خلق کردن	krieyt
creation	ایجاد؛ خلق	krieyshen
creative	خلاق	krieytiv
creativity	خلاقیت	krieytiviti
creator	خالق	krieyter
creature	خلق؛ موجود	kricher
credibility	اعتبار	kredabiliti
credible	معتبر	kredabel
credit	اعتبار	kredat / kredit
creditable	معتبر	kredatabel
creditor	بستانکار؛ وامخواه	kredater / krediter
creed	کیش	krid
creep	خزیدن	krip
crescent	هلال؛ هلالی	kresant
crest	ستیغ	krest
crew	خدمه	kru
crib	گهواره؛ دزدی ادبی	krib
cricket	جیر جیرک	krikat / krikit
crime	جرم	kraim
criminal	جنایتکار	krimanel
crimson	جگری؛ لاکی	krimzan
cringe	چندک زدن	krinj
cripple	عاجز؛ زمین گیر	kripel
crippling	فلج کننده	kripaling / kripling
crisis	بحران	kraisas
criterion	معیار	kraitirian
critic	منقد؛ نقدگر	kritik
critical	وخیم؛ بحرانی	kritikel
critically	به طور انتقادی	kritikali / kritikli
criticism	انتقاد؛ نکوهش	kritisizam
criticize	انتقاد کردن؛ نکوهش کردن	kritisaiz
critique	نقد	kratik / kritik
crockery	بدل چینی؛ ظروف گلی	kraakeri
crony	هم اطاق	kroni
crooked	کج؛ ناراست	krukad
crop	محصول؛ محصود	kraap
cross	صلیب، عبور کردن	kros
crossroads	چهار راه	krosrodz
crotchety	قلاب دار	kraachati
crouching	دولا دولا	krauching
croup	خناق	krup
crow	غراب؛ بانگ خروس	kro
crowd	جمعیت	kraud
crowded	شلوغ	kraudad / kraudid
crown	تاج	kraun
crucial	حیاتی	krushel
crucify	مصلوب کردن؛ چارمیخ کردن	krusafai
crude	خام	krud
cruel	ستمگر؛ ظالم	kruel / krul
cruelty	بیداد؛ ظلم	krulti / krualti
cruise	سفر دریایی	kruz
crumpled	مچاله	krampald
crusade	غزا؛ جنگ مذهبی	kruseyd
crush	خرد کردن	krash
crust	پوست؛ پوسته	krast
crutch	زیربغل راه رفتن؛ چوب زیر بغل	krach
cry	گریه کردن	krai
crystal	بلور	kristel
crystallized	متبلور	kristalaizd
cub	شبل	kab
cuba	کوبا	kyuba
cuban	کوبایی	kyuban
cubic	مکعبی	kyubik
cucumber	خیار؛ بالنک	kyukamber
cue	نشانه	kyu
culminating	منتهی	kalmaneyting
culmination	اوج	kalmaneyshen
cult	فرقه	kalt
cultivate	کشت کردن	kaltaveyt
cultivation	زرع؛ تهذیب	kaltiveyshen
cultural	فرهنگی	kalcherel
culture	فرهنگ	kalcher
cultured	بافرهنگ	kalcherd
cuneiform	خط میخی	kyuniaform
cunning	ناقلا؛ مکار	kaning
cup	فنجان	kap
cupboard	کمد	kaberd
curative	علاج بخش؛ شفا بخش	kyurativ
curb	جدول؛ طوقه	kerb
cure	چاره؛ درمان	kyur
curiosity	کنجکاوی	kyuriaasiti
curious	کنجکاو	kyurias
curl	فر؛ مرغول	kerl
curly	فرفری	kerli
currency	ارز	keransi
current	جاری؛ رایج	kerant / kernt
currently	فعلا؛ اکنون	kerantli
curriculum	برنامه درسی	kerikyalam
curse	نفرین؛ لعنت	kers
curtail	کوتاه کردن؛ مختصر نمودن	kerteyl
